Region,District,Sub-county,Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric
Western,Bushenyi,Bumbaire,83,1525,1608,115,1080,1195
Western,Bushenyi,Ibaare,28,1273,1301,32,936,968
Western,Bushenyi,Kakanju,110,2495,2605,155,1765,1920
Western,Bushenyi,Kyabugimbi,80,2168,2248,70,1637,1707
Western,Bushenyi,Kyamuhunga,219,3546,3765,177,2655,2832
Western,Bushenyi,Kyeizooba,122,2674,2796,119,1985,2104
Western,Bushenyi,Nyabubare,173,3792,3965,214,2753,2967
Western,Bushenyi,Ruhumuro,72,1389,1461,79,982,1061
Western,Bushenyi,Bushenyi Total,1064,23948,25012,1293,17478,18771
Western,Hoima,Buhanika,111,1191,1302,98,857,955
Western,Hoima,Buseruka,390,3204,3594,309,2298,2607
Western,Hoima,Kigorobya,714,6005,6719,621,4219,4840
Western,Hoima,Kigorobya Town Council,52,547,599,35,420,455
Western,Hoima,Kitoba,388,3037,3425,432,2041,2473
Western,Hoima,Kyabigambire,382,3462,3844,340,2464,2804
Western,Hoima,Bugambe,292,2612,2904,233,1897,2130
Western,Hoima,Buhimba,399,3607,4006,274,2627,2901
Western,Hoima,Kabwoya,748,4952,5700,522,3528,4050
Western,Hoima,Kiziranfumbi,305,3141,3446,186,2251,2437
Western,Hoima,Kyangwali,872,7715,8587,906,5205,6111
Western,Hoima,Bujumbura Division,116,2195,2311,120,1602,1722
Western,Hoima,Busiisi Division,148,1663,1811,179,1182,1361
Western,Hoima,Kahoora Divison,171,3204,3375,183,2482,2665
Western,Hoima,Mparo Divison,183,2011,2194,173,1433,1606
Western,Hoima,Hoima Total,5271,48546,53817,4611,34506,39117
Western,Ibanda,Bisheshe,226,2355,2581,168,1731,1899
Western,Ibanda,Ibanda Town Council,315,2731,3046,367,1970,2337
Western,Ibanda,Igorora Town Council,23,602,625,55,402,457
Western,Ibanda,Ishongororo,156,1412,1568,112,1044,1156
Western,Ibanda,Ishongororo Town Council,123,2111,2234,98,1543,1641
Western,Ibanda,Kashangura,132,1769,1901,83,1318,1401
Western,Ibanda,Keihangara,46,1271,1317,30,949,979
Western,Ibanda,Kicuzi,79,1571,1650,60,1146,1206
Western,Ibanda,Kijongo,48,1176,1224,47,863,910
Western,Ibanda,Kikyenkye,82,1563,1645,77,1131,1208
Western,Ibanda,Nsasi,41,842,883,27,628,655
Western,Ibanda,Nyabuhikye,76,1913,1989,106,1364,1470
Western,Ibanda,Nyamarebe,70,2092,2162,70,1514,1584
Western,Ibanda,Rukiri,105,2475,2580,151,1753,1904
Western,Ibanda,Rushango Town Council,17,372,389,17,275,292
Western,Ibanda,Ibanda Total,1539,24255,25794,1468,17631,19099
Western,Isingiro,Endiinzi,195,2136,2331,198,1452,1650
Western,Isingiro,Kashumba,120,2240,2360,121,1613,1734
Western,Isingiro,Mbaare,168,3205,3373,126,2249,2375
Western,Isingiro,Ngarama,191,3674,3865,183,2651,2834
Western,Isingiro,Rugaaga,330,3014,3344,321,2080,2401
Western,Isingiro,Rushasha,57,1157,1214,50,773,823
Western,Isingiro,Nakivale Refugee Camp,527,5261,5788,726,3453,4179
Western,Isingiro,Birere,152,1953,2105,153,1378,1531
Western,Isingiro,Isingiro Town Council,132,2655,2787,113,1899,2012
Western,Isingiro,Kaberebere Town Council,17,552,569,39,385,424
Western,Isingiro,Kabingo,242,2039,2281,269,1395,1664
Western,Isingiro,Kabuyanda,135,2099,2234,166,1439,1605
Western,Isingiro,Kabuyanda Town Council,66,1601,1667,106,1112,1218
Western,Isingiro,Kikagate,487,4957,5444,497,3392,3889
Western,Isingiro,Masha,139,2427,2566,231,1643,1874
Western,Isingiro,Nyakitunda,282,4263,4545,216,2969,3185
Western,Isingiro,Nyamuyanja,96,1522,1618,72,1072,1144
Western,Isingiro,Ruborogota,159,1636,1795,251,1066,1317
Western,Isingiro,Oruchinga Refugee Camp,24,329,353,22,219,241
Western,Isingiro,Isingiro Total,3519,46720,50239,3860,32240,36100
Western,Kabale ,Central Division,71,1058,1129,57,832,889
Western,Kabale ,Northern Division,63,988,1051,55,742,797
Western,Kabale ,Southern Division,68,1449,1517,104,1041,1145
Western,Kabale ,Buhara,125,2619,2744,132,1919,2051
Western,Kabale ,Butanda,168,1773,1941,94,1325,1419
Western,Kabale ,Kaharo,75,2023,2098,77,1480,1557
Western,Kabale ,Kamuganguzi,79,2176,2255,97,1540,1637
Western,Kabale ,Katuna Town Council,66,934,1000,73,670,743
Western,Kabale ,Kitumba,47,1963,2010,73,1393,1466
Western,Kabale ,Kyanamira,54,2089,2143,46,1546,1592
Western,Kabale ,Maziba,67,2154,2221,47,1572,1619
Western,Kabale ,Rubaya,104,2883,2987,99,2103,2202
Western,Kabale ,Bubaare,234,3549,3783,204,2638,2842
Western,Kabale ,Bufundi,173,2712,2885,135,1955,2090
Western,Kabale ,Hamurwa,223,2723,2946,140,2047,2187
Western,Kabale ,Hamurwa Town Council,33,520,553,18,401,419
Western,Kabale ,Ikumba,172,3091,3263,134,2269,2403
Western,Kabale ,Muko,211,4721,4932,142,3437,3579
Western,Kabale ,Nyamweru,92,1944,2036,55,1454,1509
Western,Kabale ,Ruhija,64,885,949,44,633,677
Western,Kabale ,Bukinda,35,966,1001,62,680,742
Western,Kabale ,Kamwezi,88,2621,2709,72,1937,2009
Western,Kabale ,Kashambya,129,2682,2811,102,1937,2039
Western,Kabale ,Muhanga Town Council,44,1004,1048,43,722,765
Western,Kabale ,Rwamucucu,91,2718,2809,83,2003,2086
Western,Kabale ,Kabale Total,2576,52245,54821,2188,38276,40464
Western,Kabarole,Eastern Division,134,1618,1752,109,1285,1394
Western,Kabarole,Southern Division,68,1394,1462,82,1071,1153
Western,Kabarole,Western Division,74,1588,1662,98,1200,1298
Western,Kabarole,Buheesi,241,3348,3589,212,2343,2555
Western,Kabarole,Kabonero,202,1793,1995,229,1209,1438
Western,Kabarole,Katebwa,205,2016,2221,198,1400,1598
Western,Kabarole,Kibiito,132,1757,1889,89,1298,1387
Western,Kabarole,Kibiito Town Council,51,1298,1349,92,903,995
Western,Kabarole,Kisomoro,167,2276,2443,163,1632,1795
Western,Kabarole,Rubona Town Council,35,533,568,26,386,412
Western,Kabarole,Rwimi,105,1621,1726,69,1178,1247
Western,Kabarole,Rwimi Town Council,93,1497,1590,104,1085,1189
Western,Kabarole,Bukuuku,47,1096,1143,65,758,823
Western,Kabarole,Busoro,145,2351,2496,162,1737,1899
Western,Kabarole,Hakibaale,276,3242,3518,242,2299,2541
Western,Kabarole,Karago Town Council,25,959,984,45,693,738
Western,Kabarole,Karambi,159,2462,2621,235,1716,1951
Western,Kabarole,Karangura,144,1139,1283,102,808,910
