Region,District,Sub-county,Attending School (6-12 years),Not attending (6-12 years),Never  been to School (15+ years),Primary (15+ years),Secondary and above (15+ years),Total,Literate (18 + years),Not Literate (18 + years),Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Northern,Amolatar,Amolatar Total,28207,5287,8926,46224,18620,73770,46339,16832,1285,14756,16041,965,10672,11637
Northern,Amudat,Amudat,1857,5124,9484,700,609,10793,957,8123,240,2654,2894,160,1854,2014
Northern,Amudat,Amudat Town Council,1329,1503,3135,981,1735,5851,2150,2890,91,1215,1306,92,832,924
Northern,Amudat,Karita,2606,5215,9704,2063,1465,13232,2659,8723,339,2744,3083,226,1908,2134
Northern,Amudat,Loroo,817,8232,10855,425,472,11752,696,9104,143,3571,3714,210,2281,2491
Northern,Amudat,Amudat Total,6609,20074,33178,4169,4281,41628,6462,28840,813,10184,10997,688,6875,7563
Northern,Amuru,Amuru,7524,2605,5371,10707,3354,19432,8723,7927,421,4030,4451,417,2807,3224
Northern,Amuru,Amuru Town Council,1799,493,1203,2060,860,4123,1949,1591,78,925,1003,78,638,716
Northern,Amuru,Attiak,6349,1026,3039,9232,4603,16874,9274,5313,325,3223,3548,320,2259,2579
Northern,Amuru,Lamogi,9430,2031,5029,11896,5181,22106,11639,7181,575,4804,5379,757,3112,3869
Northern,Amuru,Pabo,10104,3380,6662,13198,4915,24775,11538,9688,653,5391,6044,509,3817,4326
Northern,Amuru,Amuru Total,35206,9535,21304,47093,18913,87310,43123,31700,2052,18373,20425,2081,12633,14714
Northern,Apac,Abongomola,6566,1436,2189,11095,3872,17156,10462,3993,220,3867,4087,152,2870,3022
Northern,Apac,Aduku,5562,1246,2067,9449,3772,15288,9244,3807,86,3262,3348,177,2270,2447
Northern,Apac,Aduku Town Council,1390,113,426,1820,1867,4113,3039,503,25,876,901,21,653,674
Northern,Apac,Chawente,6529,1271,1922,11237,3722,16881,10534,3945,246,3511,3757,178,2512,2690
Northern,Apac,Inomo,5534,1113,1686,9759,3956,15401,9578,3513,266,3146,3412,187,2349,2536
Northern,Apac,Nambieso,9358,2053,2919,15691,4789,23399,13933,5986,269,5102,5371,212,3650,3862
Northern,Apac,Akokoro,8106,1345,2669,13692,5044,21405,13685,4941,450,3781,4231,224,2867,3091
Northern,Apac,Apac,10121,1918,3205,17412,6227,26844,16235,6437,306,5960,6266,321,4270,4591
Northern,Apac,Apac Town Council,2400,253,534,3392,3837,7763,5547,1094,82,1544,1626,50,1188,1238
Northern,Apac,Chegere,6724,1318,1919,12481,3911,18311,10964,4594,343,3755,4098,301,2707,3008
Northern,Apac,Ibuje,7655,1725,2103,13762,4134,19999,12406,4672,196,4278,4474,180,3082,3262
Northern,Apac,Apac Total,69945,13791,21639,119790,45131,186560,115627,43485,2489,39082,41571,2003,28418,30421
Northern,Arua,Arua Hill Division,2896,214,657,2640,5958,9255,6794,957,52,2198,2250,1662,120,1782
Northern,Arua,River Oli Division,8208,973,2732,10421,9590,22743,14739,4235,281,5397,5678,4143,316,4459
Northern,Arua,Adumi,5070,1631,3576,9530,2323,15429,8364,4918,243,2992,3235,2212,206,2418
Northern,Arua,Aroi,3596,1540,2898,7293,2712,12903,7613,3373,225,2544,2769,1877,232,2109
Northern,Arua,Ayivuni,3647,1216,2580,7066,1944,11590,6096,3807,203,2274,2477,1744,107,1851
Northern,Arua,Dadamu,7960,1060,2731,10715,8187,21633,14181,4137,215,5043,5258,3674,273,3947
Northern,Arua,Manibe,4979,1350,3579,8364,3248,15191,8095,5024,124,3037,3161,2229,109,2338
Northern,Arua,Oluko,7137,835,2184,10308,8089,20581,13624,3904,219,4418,4637,3293,234,3527
Northern,Arua,Pajulu,10785,2002,3833,16308,11100,31241,19950,6604,427,7050,7477,5161,470,5631
Northern,Arua,Anyiribu,1460,178,457,2834,933,4224,2649,1002,88,789,877,630,36,666
Northern,Arua,Ewanga,1475,413,1066,2349,583,3998,1994,1435,44,774,818,556,25,581
Northern,Arua,Offaka,3472,549,1211,6892,1944,10047,5569,3098,307,1665,1972,1200,284,1484
Northern,Arua,Ogoko,3000,641,2099,6175,2022,10296,5602,3394,297,1495,1792,970,364,1334
Northern,Arua,Okollo,3091,573,1039,6529,1978,9546,5932,2320,137,1708,1845,1300,88,1388
Northern,Arua,Pawor,1787,281,913,3046,838,4797,2442,1725,91,866,957,638,59,697
Northern,Arua,Rhino Camp,4298,712,2161,7686,2508,12355,7209,3441,163,2180,2343,1517,220,1737
Northern,Arua,Rigbo,4444,1136,2520,8422,2220,13162,6293,5126,157,2474,2631,1703,193,1896
Northern,Arua,Uleppi,1462,347,591,2943,1069,4603,2636,1345,71,853,924,634,51,685
Northern,Arua,Aii-Vu,7103,1435,3284,12343,5058,20685,11937,5852,218,3929,4147,2882,152,3034
Northern,Arua,Bileafe,3900,752,1569,6478,2891,10938,6949,2450,99,2132,2231,1540,100,1640
Northern,Arua,Katrini,5771,1373,2710,9535,3894,16139,9681,4174,184,3308,3492,2418,148,2566
Northern,Arua,Omugo,7875,1509,4225,12857,5068,22150,11603,7539,316,4141,4457,2289,1004,3293
Northern,Arua,Odupi,6634,1603,4665,11194,3947,19806,10433,6664,298,3616,3914,2758,153,2911
Northern,Arua,Uriama,3520,1226,2303,7414,2372,12089,5949,4420,124,2287,2411,1738,99,1837
Northern,Arua,Ajia,4808,882,2071,9399,2864,14334,7648,4745,364,2426,2790,1770,302,2072
Northern,Arua,Arivu,4250,810,1849,7858,2347,12054,6770,3573,186,2311,2497,1440,396,1836
Northern,Arua,Logiri,6430,2182,3311,12274,2737,18322,10777,5179,354,3479,3833,2560,253,2813
Northern,Arua,Vurra,8160,1215,2822,13884,6524,23230,14979,4936,585,4417,5002,3100,641,3741
Northern,Arua,Arua Total,137218,28638,65636,232757,104948,403341,236508,109377,6072,79803,85875,57638,6635,64273
Northern,Dokolo,Adeknino,3068,779,1339,5000,1469,7808,4040,2482,84,1808,1892,118,1248,1366
Northern,Dokolo,Adok,3509,579,999,5979,1977,8955,5408,2125,106,1951,2057,73,1450,1523
Northern,Dokolo,Agwata,4206,676,1397,6335,2821,10553,6693,2264,102,2394,2496,55,1772,1827
Northern,Dokolo,Amwoma,2725,619,1290,4342,1741,7373,4162,2108,73,1649,1722,56,1179,1235
Northern,Dokolo,Batta,3548,723,1734,5664,1983,9381,4994,2890,124,2041,2165,89,1522,1611
Northern,Dokolo,Dokolo,2867,2867,771,1343,4903,7017,7824,4322,91,1719,1810,91,1264,1355
Northern,Dokolo,Dokolo Town Council,3816,572,1323,5865,3293,10481,6151,2774,135,2168,2303,118,1571,1689
Northern,Dokolo,Kangai,3554,558,1022,5117,2234,8373,5013,2028,69,1914,1983,54,1359,1413
Northern,Dokolo,Kwera,2688,430,950,4187,1509,6646,3808,1815,65,1518,1583,63,1065,1128
Northern,Dokolo,Okwalongwen,2689,593,1167,4388,1773,7328,4054,2159,89,1532,1621,223,972,1195
Northern,Dokolo,Okwongodul,2864,418,1050,4107,1559,6716,3860,1806,57,1589,1646,84,1082,1166
Northern,Dokolo,Dokolo Total,35534,6718,13614,55887,21937,91438,52505,24734,995,20283,21278,1024,14484,15508
Northern,Gulu,Bar Dege Division,6564,459,2031,6230,11946,20207,14242,3081,243,3865,565,2595,35456,38051
Northern,Gulu,Laroo Division,4240,275,891,4441,10433,15765,12124,1782,132,2616,218,1907,25909,27816
Northern,Gulu,Layibi Division,6181,471,1544,6770,12581,20895,15288,2877,307,3627,409,2630,35664,38294
Northern,Gulu,Pece Division,7454,377,1506,7160,17616,26282,19760,2815,202,5108,196,3950,44373,48323
Northern,Gulu,Awach,3825,606,1344,5555,2125,9024,4483,3096,192,1967,104,1479,18874,20353
Northern,Gulu,Bungatira,6643,757,2409,9025,5443,16877,10208,4234,291,3438,323,2450,32824,35274
Northern,Gulu,Paicho,4689,953,2465,6651,2524,11640,5294,4603,218,2499,159,1827,24440,26267
Northern,Gulu,Palaro,2768,377,1074,3882,1291,6247,2955,2367,110,1385,75,987,13109,14096
Northern,Gulu,Patiko,3827,546,1591,5324,1755,8670,4125,3177,227,1861,176,1354,18352,19706
Northern,Gulu,Unyama,3485,304,1146,4975,2520,8641,4642,2730,227,1673,130,1286,16993,18279
Northern,Gulu,Bobi,5743,827,1933,8765,3865,14563,8409,4008,274,2858,152,2158,28912,31070
Northern,Gulu,Koro,5618,529,1806,7807,4429,14042,7844,4104,323,2752,224,2057,27365,29422
Northern,Gulu,Lakwana,3808,560,1189,5880,2213,9282,5161,2659,238,1945,120,1500,18761,20261
Northern,Gulu,Lalogi,5848,1041,2593,8602,3451,14646,7455,4934,334,2999,371,2073,29628,31701
Northern,Gulu,Odek,6177,1167,2446,9475,3518,15439,8314,4780,315,3072,249,2234,31322,33556
Northern,Gulu,Ongako,4560,552,1705,6463,3737,11905,6955,3286,217,2316,228,1653,23112,24765
Northern,Gulu,Gulu Total,81430,9801,27673,107005,89447,224125,137259,54533,3850,43981,3699,32140,425094,457234
Northern,Kaabong,Kaabong East,262,1956,4446,334,202,4982,357,3804,43,1173,1216,70,833,903
Northern,Kaabong,Kaabong T.C*,1553,686,2357,1858,2218,6433,2938,2556,56,1323,1379,47,1017,1064
Northern,Kaabong,Kaabong West,444,2433,5891,766,386,7043,770,5288,32,1317,1349,40,981,1021
Northern,Kaabong,Kalapata,637,5189,10780,688,519,11987,807,9341,64,3056,3120,73,2228,2301
Northern,Kaabong,Kamion,536,835,2317,619,273,3209,509,2276,25,625,650,23,456,479
Northern,Kaabong,Kapedo,1027,2066,5380,1355,746,7481,1454,5028,62,1418,1480,70,1028,1098
Northern,Kaabong,Kathile,852,3831,8551,1287,699,10537,1365,7787,112,2050,2162,108,1469,1577
Northern,Kaabong,Kawalakol,918,2274,4712,1208,703,6623,1235,4387,49,1404,1453,34,1026,1060
Northern,Kaabong,Lobalangit,651,1035,2367,852,531,3750,878,2331,16,716,732,17,526,543
Northern,Kaabong,Lodiko,215,1236,2839,257,125,3221,238,2451,37,767,804,35,575,610
Northern,Kaabong,Lolelia,253,1448,3180,394,263,3837,482,2843,33,752,785,57,526,583
Northern,Kaabong,Loyoro,252,496,1237,360,242,1839,379,1190,28,386,414,31,275,306
Northern,Kaabong,Napore Karenga,2030,1228,3322,2196,1738,7256,2772,3446,59,1496,1555,72,1065,1137
Northern,Kaabong,Sidok,691,2053,5644,972,421,7037,890,5209,38,1286,1324,45,937,982
Northern,Kaabong,Kaabong Total,10321,26766,63023,13146,9066,85235,15074,57937,654,17769,18423,722,12942,13664
Northern,Kitgum,Central Division,4880,501,2016,5998,6036,14050,8697,3317,211,2633,2844,190,1941,2131
Northern,Kitgum,Pager Division,6667,655,2482,7799,8123,18404,11726,4052,236,3516,3752,400,2435,2835
Northern,Kitgum,Labongo Akwang,6473,769,2386,7469,8844,18699,12085,3905,274,3645,3919,218,2721,2939
Northern,Kitgum,Labongo Amida,1593,281,878,2156,1161,4195,2116,1447,51,860,911,38,650,688
Northern,Kitgum,Labongo Layamo,590,80,311,763,303,1377,746,428,12,287,299,22,194,216
Northern,Kitgum,Lagoro,2385,351,1093,3197,1350,5640,2772,2015,59,1182,1241,37,894,931
Northern,Kitgum,Mucwini,4436,519,2021,6044,2533,10598,5572,3497,167,2054,2221,129,1520,1649
Northern,Kitgum,Namokora,2799,475,1887,3521,1592,7000,3539,2378,112,1395,1507,170,918,1088
Northern,Kitgum,Omiya Anyima,4212,692,2299,5642,2240,10181,5076,3502,221,2112,2333,279,1459,1738
Northern,Kitgum,Orom,3956,2592,5426,5926,1852,13204,5234,5943,276,2733,3009,172,2012,2184
Northern,Kitgum,Kitgum Total,37991,6915,20799,48515,34034,103348,57563,30484,1619,20417,22036,1655,14744,16399
Northern,Koboko,Northern Divison,4028,368,1892,3526,4031,9449,5541,2036,90,2517,2607,151,1856,2007
Northern,Koboko,Southern Division,531,85,223,772,386,1381,833,358,20,291,311,14,218,232
Northern,Koboko,Western Division,5644,840,2256,6756,5764,14776,9121,3269,143,3548,3691,166,2684,2850
Northern,Koboko,Abuku,2825,610,1678,3852,1375,6905,3362,2555,59,1310,1369,81,938,1019
Northern,Koboko,Dranya,2435,498,1188,3960,1234,6382,3399,2112,187,3565,3752,249,2490,2739
Northern,Koboko,Kuluba,6839,1847,3459,13425,3470,20354,10707,7098,185,3295,3480,128,2394,2522
Northern,Koboko,Lobule,6809,1288,4098,8823,2860,15781,7477,6042,225,2815,3040,183,1994,2177
Northern,Koboko,Ludara,5365,1594,3924,8756,2626,15306,6964,6250,106,2199,2305,120,1561,1681
Northern,Koboko,Midia,3861,1028,2227,5818,2455,10500,5308,3672,1074,20961,22035,1124,15172,16296
Northern,Koboko,Koboko Total,38337,8158,20945,55688,24201,100834,52712,33392,615,4530,5145,394,3372,3766
Northern,Kole,Aboke,8717,1574,3536,14892,5490,23918,14101,6292,275,3118,3393,273,2283,2556
Northern,Kole,Akalo,5586,830,2186,9074,3564,14824,9215,3313,407,3865,4272,206,2916,3122
Northern,Kole,Alito,6949,1833,2847,12905,3420,19172,11233,5056,298,3782,4080,174,2838,3012
Northern,Kole,Ayer,6412,1612,2399,12070,3766,18235,10891,4507,298,3782,4080,174,2838,3012
Northern,Kole,Bala,8265,2056,3283,15111,4586,22980,13856,5628,488,4760,5248,301,3558,3859
Northern,Kole,Kole Town Council,1650,256,601,2736,1309,4646,3039,979,54,925,979,30,716,746
Northern,Kole,Okwerodot,5889,1852,3014,11041,2681,16736,9117,5120,428,3275,3703,202,2492,2694
Northern,Kole,Kole Total,43468,10013,17866,77829,24816,120511,71452,30895,2565,24255,26820,1580,18175,19755
Northern,Kotido,Kacheri,490,6695,13551,518,412,14481,781,11632,184,3260,3444,192,2331,2523
Northern,Kotido,Kotido,1139,6565,13651,940,950,15541,1224,12037,163,3546,3709,165,2543,2708
Northern,Kotido,Kotido Town Council,1543,1265,3251,1306,2538,7095,2946,3168,91,1475,1566,108,1054,1162
Northern,Kotido,Nakapelimoru,427,4305,9374,487,427,10288,638,8282,51,2096,2147,69,1501,1570
Northern,Kotido,Panyangara,557,7626,17790,579,684,19053,781,15395,171,4415,4586,247,3173,3420
Northern,Kotido,Rengen,828,7893,15399,556,593,16548,888,13112,181,4040,4221,235,2789,3024
Northern,Kotido,Kotido Total,4984,34349,73016,4386,5604,83006,7258,63626,841,18832,19673,1016,13391,14407
Northern,Lamwo,Agoro,3203,1113,2538,4267,1738,8543,3853,3515,100,1785,1885,118,1228,1346
Northern,Lamwo,Lamwo T.C*,1600,209,626,2146,1155,3927,2148,1200,43,849,892,26,630,656
Northern,Lamwo,Palabek Gem,3069,418,1307,4049,2067,7423,4093,2260,63,1514,1577,41,1111,1152
Northern,Lamwo,Madi  Opei,2241,572,1354,3064,1398,5816,3056,1940,38,1241,1279,42,895,937
Northern,Lamwo,Padibe West,2655,320,1095,3376,1543,6014,2997,2072,125,1269,1394,122,926,1048
Northern,Lamwo,Lokung,3144,742,1850,4308,1776,7934,4157,2699,154,1543,1697,75,1153,1228
Northern,Lamwo,Padibe East,1839,316,913,2396,1178,4487,2104,1718,61,936,997,54,678,732
Northern,Lamwo,Palabek Kal,2819,555,1293,3845,2130,7268,4040,2158,101,1478,1579,64,1102,1166
Northern,Lamwo,Palabek Ogili,1745,365,876,2772,1082,4730,2606,1479,76,854,930,83,589,672
Northern,Lamwo,Paloga,1766,430,985,2317,1104,4406,2329,1435,73,930,1003,101,638,739
Northern,Lamwo,Padibe T.C,2021,256,877,2030,2006,4913,2830,1284,47,1134,1181,37,857,894
Northern,Lamwo,Lamwo Total,26102,5296,13714,34570,17177,65461,34213,21760,881,13533,14414,763,9807,10570
Northern,Lira,Adyel Division,4912,411,1313,5808,11202,18323,13672,2123,122,3552,3674,132,2730,2862
Northern,Lira,Central Division,3390,287,854,4421,8537,13812,10767,1412,80,2433,2513,110,1805,1915
Northern,Lira,Ojwina Division,5674,609,1586,8029,12793,22408,16807,2822,234,3966,4200,198,3056,3254
Northern,Lira,Railway Division,872,142,367,1537,1558,3462,2374,671,32,568,600,14,453,467
Northern,Lira,Adekokwok,6711,1372,3177,10607,7634,21418,12879,5407,347,4250,4597,241,3165,3406
Northern,Lira,Agali,4326,1152,2161,8227,2243,12631,6522,4187,229,2551,2780,123,1911,2034
Northern,Lira,Agweng,5007,1492,2993,8561,2639,14193,7522,4560,287,2927,3214,252,2081,2333
Northern,Lira,Amach,5999,1920,3231,10716,3506,17453,9817,5066,264,3685,3949,229,2642,2871
Northern,Lira,Aromo,5512,1849,3087,9848,2813,15748,8385,4989,328,3102,3430,213,2263,2476
Northern,Lira,Barr,8367,1314,4269,13907,4538,22714,12554,6765,291,4802,5093,285,3499,3784
Northern,Lira,Lira,6308,1246,2428,9688,6533,18649,11480,4414,209,3884,4093,195,2836,3031
Northern,Lira,Ngetta,5439,1731,3386,9204,4186,16776,8881,5467,257,3433,3690,203,2505,2708
Northern,Lira,Ogur,5682,2468,3935,10759,3184,17878,9640,5577,326,3644,3970,273,2634,2907
Northern,Lira,Lira Total,68199,15993,32787,111312,71366,215465,131300,53460,3006,42797,45803,2468,31580,34048
Northern,Maracha,Kijomoro,925,4383,3885,8436,2625,14946,7123,5564,177,3100,3277,1248,118,1366
Northern,Maracha,Maracha T.C*,271,1473,1296,2247,1073,4616,2237,1750,52,975,1027,1450,73,1523
Northern,Maracha,Nyadri,2430,1040,2235,5355,1942,9532,4613,3596,112,1887,1999,1772,55,1827
Northern,Maracha,Oleba,1215,4755,3712,9517,2569,15798,7439,6281,198,3052,3250,1179,56,1235
Northern,Maracha,Oluffe,1560,2793,3455,6111,2153,11719,4956,5176,149,2266,2415,1522,89,1611
Northern,Maracha,Oluvu,1349,515,4988,4370,8556,17914,14780,5981,162,2970,3132,1264,91,1355
Northern,Maracha,Tara,1048,2196,1749,4982,1550,8281,4171,2970,90,1660,1750,1571,118,1689
Northern,Maracha,Yivu,336,4225,3023,7136,2438,12597,5821,5056,184,2463,2647,1359,54,1413
Northern,Maracha,Maracha Total,8300,25853,23725,52340,16204,92269,42341,36938,1124,18373,19497,1065,63,1128
Northern,Moyo,Aliba,3319,858,2141,3810,1536,7487,3377,2869,79,1783,1862,84,1245,1329
Northern,Moyo,Gimara,2337,604,1451,3441,1640,6532,3273,2325,73,1318,1391,76,956,1032
Northern,Moyo,Itula,2269,541,1190,3773,1904,6867,3860,1998,50,1345,1395,39,994,1033
Northern,Moyo,Difule,2297,252,580,3356,1515,5451,3224,1380,26,1294,1320,25,931,956
Northern,Moyo,Laropi,1842,203,430,3086,1469,4985,2963,1321,34,983,1017,37,693,730
Northern,Moyo,Lefori,2235,593,1817,2940,1423,6180,3302,1957,38,1363,1401,35,971,1006
Northern,Moyo,Metu,5442,772,1559,8233,5696,15488,9818,3472,86,2945,3031,103,2155,2258
Northern,Moyo,Moyo,4414,635,1394,7106,4399,12899,7743,3385,113,2473,2586,94,1819,1913
Northern,Moyo,Moyo Town Council,1949,138,383,2040,3382,5805,4280,659,32,1235,1267,31,924,955
Northern,Moyo,Moyo Total,26104,4596,10945,37785,22964,71694,41840,19366,531,14739,15270,524,10688,11212
Northern,Nakapiripirit,Loregae,674,4691,8843,1043,576,10462,1139,7757,202,2137,2339,143,1531,1674
Northern,Nakapiripirit,Moruita,598,2698,6758,757,644,8159,1129,5893,223,1452,1675,115,1154,1269
Northern,Nakapiripirit,Nakapiripirit Town Council,420,293,738,541,736,2015,952,834,38,338,376,40,250,290
Northern,Nakapiripirit,Namalu,1205,4526,10010,2208,1453,13671,2721,9102,109,2567,2676,114,1844,1958
Northern,Nakapiripirit,Kakomongole,648,2938,6154,1160,684,7998,1240,5524,163,1650,1813,210,1147,1357
Northern,Nakapiripirit,Lolachat,1349,665,7310,1107,599,9016,7757,1128,163,3612,3775,177,2596,2773
Northern,Nakapiripirit,Lorengedwat,391,1166,2387,418,369,3174,542,2139,20,671,691,25,483,508
Northern,Nakapiripirit,Nabilatuk,802,5640,9856,941,902,11699,1363,8342,125,3191,3316,149,2276,2425
Northern,Nakapiripirit,Nakapiripirit Total,5403,29262,57351,8175,5963,71489,10214,50273,1043,15618,16661,973,11281,12254
Northern,Napak,Iriiri,1438,8656,16522,2386,1298,20206,2496,14603,256,4652,4908,564,2996,3560
Northern,Napak,Lorengecora,453,1890,3736,665,325,4726,565,3487,69,875,944,77,584,661
Northern,Napak,Lotome,364,2120,4141,856,622,5619,1056,3720,27,1160,1187,44,839,883
Northern,Napak,Matany,1462,3117,7945,1865,1831,11641,2675,7440,193,1994,2187,216,1400,1616
Northern,Napak,Napak T.C*,353,703,1527,417,336,2280,540,1453,37,399,436,66,244,310
Northern,Napak,Ngoleriet,1291,2620,5904,1132,1420,8456,1877,5373,63,1824,1887,154,1196,1350
Northern,Napak,Lokopo,1019,3650,8187,1229,919,10335,1458,7505,237,1710,1947,315,1095,1410
Northern,Napak,Lopeei,234,2802,5627,478,273,6378,461,4901,60,1180,1240,106,802,908
Northern,Napak,Napak Total,6614,25558,53589,9028,7024,69641,11128,48482,942,13794,14736,1542,9156,10698
Northern,Nebbi,Alwi,3117,737,1372,6142,1654,9168,4852,3048,225,1590,1815,167,1144,1311
Northern,Nebbi,Pakwach,3632,948,2290,6124,1981,10395,5044,3949,139,1985,2124,142,1403,1545
Northern,Nebbi,Pakwach Town Council,3991,967,1867,6554,3711,12132,6875,3439,152,2480,2632,130,1822,1952
Northern,Nebbi,Panyango,4879,1409,2462,8562,2825,13849,7543,4328,207,2736,2943,148,1970,2118
Northern,Nebbi,Panyimur,6653,2113,5049,13187,3149,21385,10381,8166,453,3737,4190,396,2710,3106
Northern,Nebbi,Wadelai,4147,982,2714,6786,2127,11627,5735,4330,242,2120,2362,259,1466,1725
Northern,Nebbi,Akworo,4129,1448,3897,7031,1522,12450,5129,5502,211,2522,2733,195,1822,2017
Northern,Nebbi,Atego,1470,646,1142,3067,685,4894,2351,1847,60,1001,1061,60,708,768
Northern,Nebbi,Erussi,6268,2111,3795,10341,2770,16906,8336,6022,223,3837,4060,201,2718,2919
Northern,Nebbi,Kucwiny,5470,1544,3051,9769,3076,15896,8040,5692,353,2986,3339,269,2202,2471
Northern,Nebbi,Ndhew,3777,1032,1719,6757,1711,10187,5240,3499,201,2103,2304,164,1535,1699
Northern,Nebbi,Nebbi,4122,1140,2195,7878,2440,12513,6550,4263,187,2425,2612,152,1775,1927
Northern,Nebbi,Nebbi Town Council,5792,1360,2581,9783,6401,18765,11030,5061,238,3848,4086,377,2694,3071
Northern,Nebbi,Nyaravur,3466,838,1693,6209,2359,10261,5609,3244,206,2028,2234,167,1464,1631
Northern,Nebbi,Parombo,6113,1748,3273,10666,3670,17609,9098,5891,292,3578,3870,240,2602,2842
Northern,Nebbi,Nebbi Total,67026,19023,39100,118856,40081,198037,101813,68281,3389,38976,42365,3067,28035,31102
Northern,Nwoya,Alero,7887,1681,3858,12047,3809,19714,10336,6538,460,3824,4284,340,2729,1366
Northern,Nwoya,Anaka Payira,2201,385,1014,3303,988,5305,2685,1862,116,1116,1232,69,833,1523
Northern,Nwoya,Koch-Goma,6842,960,2746,10504,3895,17145,8871,5774,373,3441,3814,206,2626,1827
Northern,Nwoya,Anaka Town Council,2730,272,823,3762,2080,6665,4107,1631,114,1384,1498,72,1025,1235
Northern,Nwoya,Purongo,5586,1106,2369,9986,3055,15410,8017,5327,272,2868,3140,172,2113,1611
Northern,Nwoya,Nwoya Total,25246,4404,10810,39602,13827,64239,34016,21132,1335,12633,13968,859,9326,1355
Northern,Otuke,Adwari,1826,440,1029,3146,966,5141,2900,1426,55,1046,1101,46,776,822
Northern,Otuke,Alango,2202,515,1099,3567,1535,6201,3583,1706,58,1315,1373,42,981,1023
Northern,Otuke,Ogor,2512,653,1795,4091,1445,7331,3917,2262,137,1468,1605,85,1125,1210
Northern,Otuke,Ogwette,2615,781,1611,4193,1607,7411,3997,2409,107,1431,1538,143,964,1107
Northern,Otuke,Okwang,3831,1087,2468,6222,2050,10740,5584,3583,184,2151,2335,85,1672,1757
Northern,Otuke,Olilim,2264,763,1429,3915,1506,6850,4009,1795,64,1427,1491,37,1090,1127
Northern,Otuke,Orum,1855,339,996,2964,1106,5066,2722,1586,73,1006,1079,40,775,815
Northern,Otuke,Otuke T.C*,1109,168,565,1666,1035,3266,2063,732,23,592,615,26,437,463
Northern,Otuke,Otuke Total,18214,4746,10992,29764,11250,52006,28775,15499,701,10436,11137,504,7820,8324
Northern,Oyam,Aber,6252,1508,2447,10533,3604,16584,8764,5258,391,3506,3897,285,2547,2832
Northern,Oyam,Abok,2943,1088,1375,5749,1542,8666,4526,2872,166,1733,1899,104,1253,1357
Northern,Oyam,Acaba,4851,1555,2085,9159,2953,14197,8393,3688,262,2919,3181,201,2135,2336
Northern,Oyam,Aleka,5689,1180,2578,9210,2753,14541,7764,4648,520,2773,3293,282,2101,2383
Northern,Oyam,Iceme,8191,2270,3255,15251,4878,23384,13631,6233,447,4660,5107,297,3418,3715
Northern,Oyam,Kamdini,6718,2390,3586,12248,4495,20329,11083,6289,508,3988,4496,402,2888,3290
Northern,Oyam,Loro,9731,2362,4001,17070,6956,28027,16297,7440,748,5488,6236,436,4217,4653
Northern,Oyam,Minakulu,6335,2586,3018,11543,4012,18573,10374,5442,508,3909,4417,390,2766,3156
Northern,Oyam,Myene,4561,1756,2408,8576,2475,13459,7009,4367,345,2685,3030,388,1842,2230
Northern,Oyam,Ngai,5008,1512,2490,9146,2858,14494,8366,4004,324,2809,3133,227,2030,2257
Northern,Oyam,Otwal,4691,1295,2294,8166,2606,13066,7356,3880,371,2492,2863,287,1820,2107
Northern,Oyam,Oyam Town Council,2080,345,680,3343,1997,6020,3893,1289,121,1238,1359,63,970,1033
Northern,Oyam,Oyam Total,67050,19847,30217,119994,41129,191340,107456,55410,4711,38200,42911,3362,27987,31349
Northern,Pader,Acholibur,2769,509,1395,3638,1896,6929,3446,2411,110,1482,1592,137,1027,1164
Northern,Pader,Angagura,1683,368,963,2603,940,4506,2034,1760,82,955,1037,75,679,754
Northern,Pader,Atanga,2935,465,1661,4238,1783,7682,3662,2823,163,1521,1684,226,1015,1241
Northern,Pader,Awere,3762,805,1957,4992,2520,9469,4758,3175,178,2090,2268,207,1520,1727
Northern,Pader,Laguti,2667,469,1686,3336,1516,6538,2916,2597,121,1360,1481,161,924,1085
Northern,Pader,Lapul,3636,573,1953,4667,2418,9038,4675,3046,153,1863,2016,335,1141,1476
Northern,Pader,Latanya,2986,656,1474,3831,1966,7271,3473,2641,88,1667,1755,104,1178,1282
Northern,Pader,Ogom,1643,309,956,2341,866,4163,1868,1730,98,791,889,102,536,638
Northern,Pader,Pader,1830,312,1174,2206,1407,4787,2620,1511,44,867,911,103,550,653
Northern,Pader,Pader Town Council,2475,334,1001,2546,3048,6595,3950,1691,159,1326,1485,142,984,1126
Northern,Pader,Pajule,4435,926,2306,5724,3126,11156,5660,3692,151,2487,2638,225,1722,1947
Northern,Pader,Puranga,3722,710,1641,5300,2195,9136,4591,3105,307,1809,2116,209,1318,1527
Northern,Pader,Pader Total,34543,6436,18167,45422,23681,87270,43653,30182,1654,18218,19872,2026,12594,14620
Northern,Yumbe,Apo,9308,3134,5237,7396,3426,16059,6954,6213,206,5149,5355,304,3446,3750
Northern,Yumbe,Ariwa,4515,1951,3224,5421,1939,10584,4847,3938,97,2575,2672,100,1772,1872
Northern,Yumbe,Drajini,7240,1175,2860,7356,3581,13797,7086,4418,101,3578,3679,161,2443,2604
Northern,Yumbe,Kei,10122,2964,5615,9708,3271,18594,8453,7088,320,5386,5706,322,3612,3934
