Region,District,Sub-county,Attending School (6-12 years),Not attending (6-12 years),Never  been to School (15+ years),Primary (15+ years),Secondary and above (15+ years),Total,Literate (18 + years),Not Literate (18 + years),Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Western,Isingiro,Ngarama,7046,837,3420,10136,3978,17534,10859,4298,191,3674,3865,183,2651,2834
Western,Isingiro,Rugaaga,6476,789,3131,10073,3379,16583,10067,4473,330,3014,3344,321,2080,2401
Western,Isingiro,Rushasha,2428,426,2107,3306,796,6209,2949,2615,57,1157,1214,50,773,823
Western,Isingiro,Nakivale Refugee Camp,9033,4063,9570,11804,5513,26887,13664,9694,527,5261,5788,726,3453,4179
Western,Isingiro,Birere,4129,269,1828,6339,3298,11465,7686,2366,152,1953,2105,153,1378,1531
Western,Isingiro,Isingiro Town Council,5179,593,2411,8147,3766,14324,9497,3061,132,2655,2787,113,1899,2012
Western,Isingiro,Kaberebere Town Council,1044,39,380,1748,1416,3544,2492,669,17,552,569,39,385,424
Western,Isingiro,Kabingo,4127,419,2102,6687,2762,11551,7499,2577,242,2039,2281,269,1395,1664
Western,Isingiro,Kabuyanda,4334,521,2477,6240,1721,10438,5870,3211,135,2099,2234,166,1439,1605
Western,Isingiro,Kabuyanda Town Council,3202,328,1916,4805,1837,8558,5297,2196,66,1601,1667,106,1112,1218
Western,Isingiro,Kikagate,10424,1700,5643,14191,4333,24167,14494,6557,487,4957,5444,497,3392,3889
Western,Isingiro,Masha,4827,406,2455,7644,3938,14037,9115,3178,139,2427,2566,231,1643,1874
Western,Isingiro,Nyakitunda,8980,999,4160,12032,3471,19663,11838,5291,282,4263,4545,216,2969,3185
Western,Isingiro,Nyamuyanja,3240,361,1192,4814,1771,7777,5003,1792,96,1522,1618,72,1072,1144
Western,Isingiro,Ruborogota,3341,458,2500,4995,1674,9169,5123,2875,159,1636,1795,251,1066,1317
Western,Isingiro,Oruchinga Refugee Camp,647,105,672,656,205,1533,682,645,24,329,353,22,219,241
Western,Isingiro,Isingiro Total,93459,14397,55289,136354,52139,243782,146031,66978,3519,46720,50239,3860,32240,36100
Western,Kabale,Central Division,1692,63,457,2163,6070,8690,7200,637,71,1058,1129,57,832,889
Western,Kabale,Northern Division,1776,73,709,2519,4354,7582,5787,987,63,988,1051,55,742,797
Western,Kabale,Southern Division,2469,158,1080,3594,5675,10349,8144,1155,68,1449,1517,104,1041,1145
Western,Kabale,Buhara,4849,400,2530,7829,3547,13906,8776,3308,125,2619,2744,132,1919,2051
Western,Kabale,Butanda,3397,414,2637,4543,2139,9319,5283,2779,168,1773,1941,94,1325,1419
Western,Kabale,Kaharo,3590,194,1834,5927,3404,11165,7322,2402,75,2023,2098,77,1480,1557
Western,Kabale,Kamuganguzi,3788,554,2452,5946,2699,11097,6481,3150,79,2176,2255,97,1540,1637
Western,Kabale,Katuna Town Council,1762,95,932,2448,1938,5318,3538,1120,66,934,1000,73,670,743
Western,Kabale,Kitumba,3448,305,1985,5258,3091,10334,6709,2329,47,1963,2010,73,1393,1466
