YEAR,DISTRICT ,TOTAL CANDIDATES,Total DIV 1,% DIV 1,Total DIV 2,% DIV 2,Total DIV 3,% DIV 3,Total DIV 4,% DIV 4,Total DIV 7,% DIV 7,Total DIV 9,% DIV 9,Total DIV X,% X,FEMALE CANDIDATES,FEMALE TOTAL DIV1 ,FEMALE % DIV1 ,FEMALE TOTAL DIV2 ,FEMALE % DIV2,FEMALE TOTAL DIV3,FEMALE % DIV3,FEMALE TOTAL DIV4,FEMALE % DIV4,FEMALE TOTAL DIV7,FEMALE % DIV7,FEMALE TOTAL DIV9,FEMALE % DIV9,FEMALE TOTAL X,FEMALE % X ,MALE CANDIDATES,MALE TOTAL DIV1 ,MALE % DIV1 ,MALE TOTAL DIV2,MALE % DIV2,MALE TOTAL DIV3,MALE % DIV3,MALE TOTAL DIV4,MALE % DIV4 ,MALE TOTAL DIV7,MALE % DIV7,MALE TOTAL DIV9,MALE % DIV9,MALE TOTAL X,MALE % X
numeric,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
2016,NAMATUMBA,1811,40,2.2,144,8,333,18.4,1010,55.8,7,0.4,235,13,42,2.3,804,7,0.9,50,6.2,125,15.5,496,61.7,1,0.1,104,12.9,21,2.6,1007,33,3.3,94,9.3,208,20.7,514,51,6,0.6,131,13,21,2.1
2016,NAMAYINGO,704,17,2.4,73,10.4,140,19.9,349,49.6,4,0.6,101,14.3,20,2.8,268,3,1.1,14,5.2,38,14.2,147,54.9,1,0.4,53,19.8,12,4.5,436,14,3.2,59,13.5,102,23.4,202,46.3,3,0.7,48,11,8,1.8
2016,NAPAK,140,5,3.6,33,23.6,63,45,31,22.1,0,0,7,5,1,0.7,126,5,4,32,25.4,60,47.6,22,17.5,0,0,6,4.8,1,0.8,14,0,0,1,7.1,3,21.4,9,64.3,0,0,1,7.1,0,0
2016,NEBBI,1815,33,1.8,145,8,321,17.7,962,53,8,0.4,290,16,56,3.1,609,0,0,19,3.1,78,12.8,350,57.5,0,0,148,24.3,14,2.3,1206,33,2.7,126,10.4,243,20.1,612,50.7,8,0.7,142,11.8,42,3.5
2016,NGORA,1638,62,3.8,228,13.9,378,23.1,740,45.2,4,0.2,202,12.3,24,1.5,788,23,2.9,93,11.8,172,21.8,393,49.9,3,0.4,89,11.3,15,1.9,850,39,4.6,135,15.9,206,24.2,347,40.8,1,0.1,113,13.3,9,1.1
2016,NTOROKO,226,1,0.4,28,12.4,26,11.5,122,54,1,0.4,43,19,5,2.2,88,0,0,4,4.5,10,11.4,52,59.1,0,0,18,20.5,4,4.5,138,1,0.7,24,17.4,16,11.6,70,50.7,1,0.7,25,18.1,1,0.7
2016,NTUNGAMO,4894,316,6.5,842,17.2,1142,23.3,2180,44.5,8,0.2,333,6.8,73,1.5,2514,81,3.2,335,13.3,555,22.1,1304,51.9,2,0.1,204,8.1,33,1.3,2380,235,9.9,507,21.3,587,24.7,876,36.8,6,0.3,129,5.4,40,1.7
2016,NWOYA,395,2,0.5,22,5.6,71,18,234,59.2,1,0.3,58,14.7,7,1.8,141,0,0,2,1.4,17,12.1,92,65.2,0,0,27,19.1,3,2.1,254,2,0.8,20,7.9,54,21.3,142,55.9,1,0.4,31,12.2,4,1.6
2016,OTUKE,484,25,5.2,106,21.9,128,26.4,185,38.2,3,0.6,27,5.6,10,2.1,184,3,1.6,31,16.8,48,26.1,83,45.1,0,0,17,9.2,2,1.1,300,22,7.3,75,25,80,26.7,102,34,3,1,10,3.3,8,2.7
2016,OYAM,1006,11,1.1,123,12.2,240,23.9,525,52.2,3,0.3,87,8.6,17,1.7,510,0,0,42,8.2,109,21.4,302,59.2,0,0,50,9.8,7,1.4,496,11,2.2,81,16.3,131,26.4,223,45,3,0.6,37,7.5,10,2
2016,PADER,769,41,5.3,125,16.3,190,24.7,324,42.1,1,0.1,58,7.5,30,3.9,290,9,3.1,42,14.5,71,24.5,136,46.9,1,0.3,26,9,5,1.7,479,32,6.7,83,17.3,119,24.8,188,39.2,0,0,32,6.7,25,5.2
2016,PALLISA,3685,64,1.7,219,5.9,561,15.2,1842,50,10,0.3,935,25.4,54,1.5,1534,11,0.7,54,3.5,194,12.6,829,54,4,0.3,418,27.2,24,1.6,2151,53,2.5,165,7.7,367,17.1,1013,47.1,6,0.3,517,24,30,1.4
2016,RAKAI,3966,271,6.8,631,15.9,798,20.1,1848,46.6,8,0.2,317,8,93,2.3,2180,97,4.4,278,12.8,412,18.9,1139,52.2,4,0.2,200,9.2,50,2.3,1786,174,9.7,353,19.8,386,21.6,709,39.7,4,0.2,117,6.6,43,2.4
2016,RUBIRIZI,1089,110,10.1,193,17.7,254,23.3,424,38.9,4,0.4,83,7.6,21,1.9,555,38,6.8,72,13,124,22.3,252,45.4,2,0.4,60,10.8,7,1.3,534,72,13.5,121,22.7,130,24.3,172,32.2,2,0.4,23,4.3,14,2.6
2016,RUKUNGIRI,4172,368,8.8,639,15.3,870,20.9,1860,44.6,9,0.2,375,9,51,1.2,2312,231,10,342,14.8,443,19.2,1055,45.6,1,0,210,9.1,30,1.3,1860,137,7.4,297,16,427,23,805,43.3,8,0.4,165,8.9,21,1.1
2016,SERERE,1993,29,1.5,169,8.5,363,18.2,1019,51.1,9,0.5,354,17.8,50,2.5,896,4,0.4,38,4.2,148,16.5,490,54.7,1,0.1,194,21.7,21,2.3,1097,25,2.3,131,11.9,215,19.6,529,48.2,8,0.7,160,14.6,29,2.6
2016,SHEEMA,3949,290,7.3,744,18.8,906,22.9,1686,42.7,9,0.2,245,6.2,69,1.7,2142,97,4.5,370,17.3,481,22.5,1013,47.3,4,0.2,148,6.9,29,1.4,1807,193,10.7,374,20.7,425,23.5,673,37.2,5,0.3,97,5.4,40,2.2
2016,SIRONKO,2222,35,1.6,171,7.7,371,16.7,1080,48.6,6,0.3,517,23.3,42,1.9,1067,4,0.4,64,6,155,14.5,561,52.6,0,0,260,24.4,23,2.2,1155,31,2.7,107,9.3,216,18.7,519,44.9,6,0.5,257,22.3,19,1.6
2016,SOROTI,5141,301,5.9,752,14.6,1109,21.6,2230,43.4,11,0.2,649,12.6,89,1.7,2314,48,2.1,285,12.3,456,19.7,1125,48.6,3,0.1,357,15.4,40,1.7,2827,253,8.9,467,16.5,653,23.1,1105,39.1,8,0.3,292,10.3,49,1.7
2016,SSEMBABULE,1191,31,2.6,105,8.8,184,15.4,610,51.2,8,0.7,221,18.6,32,2.7,642,10,1.6,36,5.6,93,14.5,334,52,4,0.6,140,21.8,25,3.9,549,21,3.8,69,12.6,91,16.6,276,50.3,4,0.7,81,14.8,7,1.3
2016,TORORO,5393,304,5.6,576,10.7,851,15.8,2525,46.8,17,0.3,1026,19,94,1.7,2324,153,6.6,209,9,318,13.7,1156,49.7,2,0.1,440,18.9,46,2,3069,151,4.9,367,12,533,17.4,1369,44.6,15,0.5,586,19.1,48,1.6
2016,WAKISO,33220,5360,16.1,6372,19.2,7083,21.3,11907,35.8,100,0.3,1934,5.8,464,1.4,17967,2330,13,3279,18.3,3945,22,7050,39.2,46,0.3,1057,5.9,260,1.4,15253,3030,19.9,3093,20.3,3138,20.6,4857,31.8,54,0.4,877,5.7,204,1.3
2016,YUMBE,957,11,1.1,80,8.4,193,20.2,502,52.5,5,0.5,138,14.4,28,2.9,355,0,0,11,3.1,64,18,198,55.8,2,0.6,70,19.7,10,2.8,602,11,1.8,69,11.5,129,21.4,304,50.5,3,0.5,68,11.3,18,3
2016,ZOMBO,736,0,0,41,5.6,95,12.9,436,59.2,2,0.3,137,18.6,25,3.4,250,0,0,7,2.8,22,8.8,161,64.4,1,0.4,51,20.4,8,3.2,486,0,0,34,7,73,15,275,56.6,1,0.2,86,17.7,17,3.5
